player_id,player,team,league,fifa_edition,update
255475,Antony Matheus dos Santos,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
203263,Harry Maguire,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
169588,Jonny Evans,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
243647,Altay Bayındır,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
250961,Joshua Zirkzee,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
259399,Rasmus Højlund,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
238041,Tyrell Malacia,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
269087,Leny Yoro,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
221660,Victor Lindelöf,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
71973,Ethan Wheatley,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
268439,Toby Collyer,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
268443,Daniel Gore,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
273599,Harry Amass,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
163264,Tom Heaton,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
205988,Luke Shaw,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
172203,Fraser Forster,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
243576,Pedro Antonio Porro Sauceda,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
232488,Cristian Romero,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
260105,Radu Drăgușin,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
259583,Destiny Udogie,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
236480,Yves Bissouma,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
247394,Dejan Kulusevski,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
259868,Pape Matar Sarr,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
251421,Brennan Johnson,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
225539,Dominic Solanke,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
200104,Heung Min Son,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
220697,James Maddison,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
270208,Archie Gray,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
272926,Lucas Bergvall,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
245279,Sergio Reguilón Rodríguez,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
205923,Ben Davies,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
243702,Djed Spence,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
236568,Brandon Austin,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
270579,Wilson Odobert,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
212188,Timo Werner,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
72159,Mikey Moore,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
236239,Alfie Whiteman,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
279117,Alfie Dorrington,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
75272,Will Lankshear,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
240091,Guglielmo Vicario,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
264453,Micky van de Ven,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
231943,Richarlison de Andrade,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
227535,Rodrigo Bentancur,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
202811,Emiliano Martínez,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
227174,Matty Cash,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
227678,Ezri Konsa,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
241464,Pau Francisco Torres,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
200458,Lucas Digne,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
236987,Boubacar Kamara,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
216393,Youri Tielemans,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
229906,Leon Bailey,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
210881,John McGinn,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
260247,Morgan Rogers,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
221697,Ollie Watkins,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
257057,Amadou Onana,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
199189,Ross Barkley,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
261336,Jaden Philogene,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
212419,Tyrone Mings,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
219693,Diego Carlos Santos Silva,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
248465,Ian Maatsen,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
207557,Robin Olsen,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
226162,Emiliano Buendía,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
247172,Jhon Durán,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
264209,Lamare Bogarde,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
74207,Kosta Nedeljković,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
243917,Joe Gauci,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
210635,Kortney Hause,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
246923,Jacob Ramsey,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
203841,Nick Pope,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
262118,Tino Livramento,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
210047,Fabian Schär,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
198032,Dan Burn,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
266127,Lewis Hall,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
247851,Bruno Guimarães Moura,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
237161,Sean Longstaff,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
223334,Joelinton Apolinário de Lira,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
206085,Jacob Murphy,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
233731,Alexander Isak,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
242964,Anthony Gordon,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
230977,Miguel Almirón,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
241096,Sandro Tonali,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
237329,Joe Willock,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
